Elapsed Time,FP1,FP2,O1,O2,
00:00:00,39.9169921875,29.296875,20.8740234375,67.0166015625,
00:00:00.002,39.1845703125,28.9306640625,18.6767578125,65.5517578125,
00:00:00.0041,36.9873046875,29.6630859375,23.8037109375,75.439453125,
00:00:00.0062,29.296875,31.1279296875,21.97265625,74.3408203125,
00:00:00.0083,26.7333984375,29.6630859375,17.2119140625,71.4111328125,
00:00:00.0104,26.0009765625,24.90234375,19.04296875,73.2421875,
00:00:00.0124,28.1982421875,21.6064453125,21.6064453125,68.4814453125,
00:00:00.0145,34.7900390625,23.0712890625,22.3388671875,75.0732421875,
00:00:00.0166,36.9873046875,23.0712890625,23.8037109375,72.1435546875,
00:00:00.0187,31.8603515625,20.1416015625,32.2265625,78.7353515625,
00:00:00.0208,24.169921875,18.310546875,34.7900390625,86.0595703125,
00:00:00.0229,21.6064453125,20.8740234375,28.9306640625,83.49609375,
00:00:00.0249,15.7470703125,17.2119140625,28.1982421875,82.763671875,
00:00:00.027,7.32421875,6.2255859375,27.83203125,76.5380859375,
00:00:00.0291,14.2822265625,10.25390625,33.69140625,78.369140625,
00:00:00.0312,20.8740234375,10.986328125,36.62109375,75.8056640625,
00:00:00.0333,26.7333984375,12.8173828125,32.958984375,67.0166015625,
00:00:00.0354,36.2548828125,22.705078125,32.2265625,71.044921875,
00:00:00.0374,26.0009765625,18.6767578125,27.83203125,76.171875,
00:00:00.0395,20.5078125,19.4091796875,24.5361328125,76.5380859375,
00:00:00.0416,21.97265625,24.169921875,28.1982421875,79.833984375,
00:00:00.0437,20.1416015625,19.4091796875,23.0712890625,67.0166015625,
00:00:00.0458,26.3671875,23.8037109375,21.240234375,64.453125,
00:00:00.0479,29.296875,23.8037109375,25.634765625,65.5517578125,
00:00:00.0499,25.2685546875,20.1416015625,29.6630859375,61.1572265625,
00:00:00.052,29.6630859375,22.705078125,32.2265625,67.3828125,
00:00:00.0541,31.1279296875,26.0009765625,30.76171875,72.8759765625,
00:00:00.0562,23.0712890625,23.8037109375,28.9306640625,76.171875,
00:00:00.0583,24.90234375,29.6630859375,24.169921875,72.509765625,
00:00:00.0604,32.2265625,38.818359375,20.5078125,65.185546875,
00:00:00.0624,39.9169921875,43.5791015625,20.5078125,58.2275390625,
00:00:00.0645,32.5927734375,31.1279296875,24.5361328125,53.8330078125,
00:00:00.0666,32.2265625,27.83203125,29.6630859375,62.6220703125,
00:00:00.0687,35.5224609375,31.494140625,27.83203125,63.3544921875,
00:00:00.0708,30.029296875,29.6630859375,25.634765625,58.59375,
00:00:00.0729,20.8740234375,26.3671875,29.6630859375,55.2978515625,
00:00:00.0749,16.845703125,24.169921875,27.83203125,61.1572265625,
00:00:00.077,17.9443359375,22.3388671875,27.83203125,59.6923828125,
00:00:00.0791,20.1416015625,21.97265625,32.2265625,55.2978515625,
00:00:00.0812,26.7333984375,24.169921875,33.69140625,50.537109375,
00:00:00.0833,26.0009765625,22.3388671875,32.2265625,40.6494140625,
00:00:00.0854,25.634765625,21.97265625,34.7900390625,48.33984375,
00:00:00.0874,30.029296875,30.76171875,32.2265625,54.931640625,
00:00:00.0895,29.296875,34.7900390625,24.169921875,50.1708984375,
00:00:00.0916,22.3388671875,31.1279296875,20.5078125,43.212890625,
00:00:00.0937,19.4091796875,27.83203125,22.3388671875,31.1279296875,
00:00:00.0958,28.1982421875,32.958984375,24.169921875,29.6630859375,
00:00:00.0979,38.0859375,35.888671875,24.5361328125,26.7333984375,
00:00:00.0999,40.283203125,35.888671875,25.2685546875,28.9306640625,
00:00:00.102,35.5224609375,35.5224609375,27.83203125,32.958984375,
00:00:00.1041,35.15625,37.353515625,31.1279296875,36.9873046875,
00:00:00.1062,34.7900390625,41.015625,28.564453125,26.7333984375,
00:00:00.1083,28.1982421875,38.4521484375,28.9306640625,26.7333984375,
00:00:00.1104,28.1982421875,36.2548828125,29.296875,16.4794921875,
00:00:00.1124,28.1982421875,33.3251953125,31.494140625,12.8173828125,
00:00:00.1145,34.7900390625,32.2265625,27.83203125,5.126953125,
00:00:00.1166,29.296875,30.029296875,23.0712890625,6.591796875,
00:00:00.1187,21.6064453125,22.3388671875,25.2685546875,3.2958984375,
00:00:00.1208,22.705078125,26.3671875,28.1982421875,11.3525390625,
00:00:00.1229,20.8740234375,29.6630859375,32.2265625,6.591796875,
00:00:00.1249,18.6767578125,28.1982421875,32.2265625,5.859375,
00:00:00.127,17.2119140625,25.2685546875,29.6630859375,6.591796875,
00:00:00.1291,17.2119140625,23.8037109375,29.6630859375,-4.7607421875,
00:00:00.1312,23.8037109375,25.634765625,27.83203125,-14.2822265625,
00:00:00.1333,26.7333984375,24.90234375,26.7333984375,-15.7470703125,
00:00:00.1354,25.2685546875,21.97265625,30.029296875,-10.6201171875,
00:00:00.1374,24.5361328125,23.0712890625,27.4658203125,-10.986328125,
00:00:00.1395,22.3388671875,26.7333984375,22.3388671875,-10.25390625,
00:00:00.1416,21.240234375,29.296875,21.97265625,-4.0283203125,
00:00:00.1437,22.705078125,32.958984375,16.845703125,-10.6201171875,
00:00:00.1458,29.6630859375,35.888671875,17.9443359375,-22.3388671875,
00:00:00.1479,27.4658203125,27.4658203125,23.0712890625,-18.6767578125,
00:00:00.1499,22.3388671875,20.8740234375,25.2685546875,-11.3525390625,
00:00:00.152,24.169921875,27.4658203125,23.8037109375,-15.0146484375,
00:00:00.1541,18.310546875,24.169921875,23.0712890625,-8.4228515625,
00:00:00.1562,10.986328125,20.5078125,21.6064453125,-13.916015625,
00:00:00.1583,10.6201171875,24.5361328125,20.8740234375,-18.310546875,
00:00:00.1604,16.4794921875,28.564453125,17.578125,-22.3388671875,
00:00:00.1624,14.2822265625,24.169921875,20.5078125,-20.5078125,
00:00:00.1645,19.04296875,23.8037109375,23.8037109375,-22.705078125,
00:00:00.1666,21.6064453125,25.634765625,24.90234375,-19.4091796875,
00:00:00.1687,20.5078125,25.2685546875,22.705078125,-21.97265625,
00:00:00.1708,14.6484375,21.240234375,23.0712890625,-10.25390625,
00:00:00.1729,13.18359375,23.8037109375,21.240234375,-13.5498046875,
00:00:00.1749,17.578125,28.1982421875,20.8740234375,-13.5498046875,
00:00:00.177,21.240234375,29.296875,25.634765625,-16.4794921875,
00:00:00.1791,29.6630859375,35.5224609375,25.2685546875,-25.634765625,
00:00:00.1812,35.15625,32.5927734375,26.0009765625,-31.494140625,
00:00:00.1833,35.5224609375,30.029296875,26.3671875,-38.0859375,
00:00:00.1854,35.15625,31.494140625,28.1982421875,-25.2685546875,
00:00:00.1874,35.5224609375,32.958984375,20.5078125,-20.8740234375,
00:00:00.1895,32.5927734375,33.3251953125,13.18359375,-30.3955078125,
00:00:00.1916,29.296875,29.6630859375,15.7470703125,-31.8603515625,
00:00:00.1937,29.6630859375,28.9306640625,18.310546875,-29.6630859375,
00:00:00.1958,38.818359375,35.888671875,16.4794921875,-36.2548828125,
00:00:00.1979,45.7763671875,36.62109375,25.634765625,-36.62109375,
00:00:00.1999,41.015625,32.5927734375,34.7900390625,-31.8603515625,
00:00:00.202,38.0859375,32.958984375,28.1982421875,-32.2265625,
00:00:00.2041,42.8466796875,41.748046875,18.310546875,-21.97265625,
00:00:00.2062,36.62109375,40.6494140625,17.2119140625,-23.0712890625,
00:00:00.2083,31.8603515625,36.9873046875,18.6767578125,-31.1279296875,
00:00:00.2104,34.423828125,39.1845703125,19.04296875,-31.494140625,
00:00:00.2124,33.69140625,36.9873046875,21.6064453125,-31.8603515625,
00:00:00.2145,32.958984375,30.029296875,26.0009765625,-24.169921875,
00:00:00.2166,28.564453125,24.169921875,23.8037109375,-21.6064453125,
00:00:00.2187,30.029296875,27.83203125,20.8740234375,-14.2822265625,
00:00:00.2208,34.7900390625,32.958984375,23.8037109375,-6.9580078125,
00:00:00.2229,27.4658203125,32.5927734375,25.634765625,-5.126953125,
00:00:00.2249,20.5078125,30.76171875,26.3671875,-7.32421875,
00:00:00.227,21.97265625,30.029296875,26.7333984375,-15.380859375,
00:00:00.2291,17.2119140625,20.8740234375,26.0009765625,-17.2119140625,
00:00:00.2312,16.4794921875,12.8173828125,27.4658203125,-10.6201171875,
00:00:00.2333,18.6767578125,11.3525390625,29.296875,-6.2255859375,
00:00:00.2354,17.9443359375,11.71875,30.76171875,3.662109375,
00:00:00.2374,16.4794921875,12.8173828125,32.5927734375,5.859375,
00:00:00.2395,10.986328125,12.8173828125,33.69140625,13.18359375,
00:00:00.2416,8.056640625,10.986328125,32.2265625,9.8876953125,
00:00:00.2437,11.71875,10.6201171875,31.494140625,8.4228515625,
00:00:00.2458,19.04296875,15.7470703125,28.1982421875,11.71875,
00:00:00.2479,24.5361328125,17.578125,27.83203125,10.986328125,
00:00:00.2499,24.5361328125,15.7470703125,28.564453125,6.591796875,
00:00:00.252,20.8740234375,15.380859375,29.296875,15.7470703125,
00:00:00.2541,16.4794921875,14.6484375,29.6630859375,20.8740234375,
00:00:00.2562,13.18359375,19.4091796875,27.4658203125,19.4091796875,
00:00:00.2583,19.04296875,28.1982421875,22.3388671875,11.3525390625,
00:00:00.2604,15.7470703125,23.8037109375,22.3388671875,8.4228515625,
00:00:00.2624,12.0849609375,17.9443359375,24.5361328125,5.859375,
00:00:00.2645,20.1416015625,21.6064453125,25.634765625,10.986328125,
